PreyDens,PredRate
9.812369496,2.678551493
0.057685457,2.02823163
2.535127643,2.594357834
5.929953712,3.906388541
4.902421022,5.194511056
8.277509867,7.781817599
1.628335207,3.666709503
8.59934283,6.847233319
6.858385317,6.417534555
6.881558939,-2.240279927
4.461559996,2.740517951
5.328694822,6.097498597
8.082290411,0.583739584
9.86809517,-1.829812459
6.106183929,8.470736937
7.28647087,0.346334833
8.307215408,12.50523339
2.134789617,1.291372655
4.543557656,4.674090192
3.870447939,6.947771737
8.151826446,7.26082573
5.125667853,9.187463704
9.99794059,7.041677559
2.468581819,4.15912327
0.261961285,2.222040745
0.034616562,2.01125685
2.291898644,3.070189883
4.751843703,4.750945309
7.916182932,7.995573501
3.954220596,6.267456001
1.98795774,2.993359818
9.084505131,14.4234581
5.326285674,2.672191439
2.399295925,2.647741049
7.456861483,-2.53445523
7.337761442,12.62635218
9.172475087,3.680835837
4.043694588,3.746254753
6.727576791,2.351474843
7.625213035,7.16771013
3.821682716,4.912393649
3.671212303,6.917631576
1.932997694,2.685671974
6.700980472,3.988375843
5.961546784,4.994074172
7.627254468,10.58929075
2.92785468,3.792449621
9.257025772,3.501310897
3.695120923,2.111540378
3.51563642,5.997499956
1.674070864,3.524697043
8.676132062,2.839868578
1.378911687,2.522215754
0.245205299,2.315645679
7.444606493,0.061449342
6.841460038,8.654880902
2.422553308,4.088203723
8.066163389,7.721386042
9.353737794,9.883708774
3.334855093,3.015311654
9.213139554,2.266382182
7.751793847,6.946034436
1.564031995,2.888769681
1.352190347,3.444074187
2.268779071,2.696026584
5.847691819,0.632222842
5.417730517,0.471132403
4.668221448,6.457305833
9.527487038,3.057895303
1.945819526,1.629520106
3.55535971,5.729935532
4.838278953,10.6347509
5.048904279,6.693075728
7.512816149,7.448129766
8.228979756,12.26197778
4.235977796,3.327124779
1.051712641,1.964203815
7.944046464,7.151285635
8.392846074,0.483528565
8.746209852,6.379002964
1.478601263,3.45340365
6.489610146,7.25715363
9.291651244,0.891346901
5.983823466,1.658181079
6.854258752,5.434711154
9.448765772,5.945074476
1.544460803,3.75358384
6.780464733,4.708306072
4.506378833,5.587230418
9.526316412,0.67919844
9.06916478,12.87676745
2.353557015,4.440033488
8.56564295,6.692081594
7.864738177,4.338125126
8.669316098,4.884381316
1.557253443,2.29485618
3.393761492,1.798905126
2.837309449,6.650977009
1.252165907,2.656759497
0.668802992,1.653038987
1.733237663,1.775501147
1.044233406,2.981646246
4.761072679,1.123497482
2.367994366,1.007044527
9.177985794,10.20818753
7.379295027,3.905059858
5.755275995,7.362137628
5.853996279,8.080741871
3.590201496,3.498481637
3.875835668,3.674439636
7.809321827,6.786909144
5.892706814,3.849501981
5.358349164,1.746027955
7.885476039,3.708330119
5.872745381,6.411513307
1.140510484,2.71895609
4.696959313,0.046479964
4.395953724,6.712293758
3.288954415,4.360496933
1.690055751,2.281139581
0.529800183,2.511297714
1.684585682,4.035794475
1.763185302,4.229365487
2.255233738,2.094780474
9.224816975,14.87229544
8.880101237,2.356216585
1.727269243,2.17380439
0.624758059,2.306852583
0.245083922,2.250779372
1.473769129,1.722265262
6.299618308,4.550793114
1.553808996,2.173513601
2.174905392,2.987425008
7.886421923,3.761011685
3.330696358,3.18220761
0.430810533,2.336371311
4.469999815,0.701543821
6.866728284,2.464787155
8.89518419,-2.181484037
4.873429497,2.359317867
7.033268546,11.10377029
6.936626041,8.503318908
2.168309677,0.493956752
2.039051948,2.507123498
2.674715789,6.044959287
9.208989483,7.620693366
0.733961959,1.568796467
3.727082417,6.44904319
9.368561273,8.406018008
3.91535383,4.598873669
