RoadDens,ProbUse
9.28309435,0.180936882
4.990907332,0.497109112
6.909431915,0.367821693
2.479895821,0.462759056
0.54236138,0.254972805
6.679939993,0.424338618
8.649166806,0.311110024
5.971981464,0.401457597
5.999170556,0.495091739
0.823032034,0.251382938
2.983154107,0.415857484
4.135469291,0.421530583
2.52404013,0.363021703
7.834449767,0.322209054
9.291693806,0.251153314
9.662525961,0.190804222
3.789809092,0.454275733
3.962423671,0.507394857
9.05315497,0.216586242
8.265456213,0.446615202
4.118501458,0.529839963
1.057298568,0.237849613
4.312172572,0.456778682
6.158979754,0.415131366
8.352560578,0.343098484
2.861305729,0.393353031
1.796520543,0.36942857
1.765764314,0.319316546
5.779152331,0.428346949
3.870780526,0.465224948
3.518886613,0.433056062
0.821227066,0.257688089
0.933877719,0.234324027
8.466304129,0.354992457
4.024385549,0.394224282
7.241658552,0.38186656
7.676655992,0.429150547
2.881514737,0.483546958
2.602082291,0.452209946
8.323199949,0.33050563
9.507471533,0.188923841
4.945119722,0.451776089
7.226944508,0.345597734
7.047319203,0.379392059
7.055840935,0.355928478
5.459833397,0.3677341
9.932364828,0.16709005
2.320236275,0.3431865
2.222125025,0.385565486
3.699577269,0.431321088
2.442821395,0.369689174
9.873283689,0.145714072
0.370542642,0.238717265
3.315678756,0.365627114
5.32043322,0.419649463
7.486711887,0.401836943
1.082787979,0.304606073
6.903904821,0.477764487
4.973725339,0.465614864
9.0734759,0.23417478
1.902111354,0.333520376
3.910835497,0.512546696
2.639255167,0.381832211
0.259827855,0.246712219
9.325223838,0.28898144
2.398939501,0.34097734
3.361511198,0.456153028
3.323417252,0.316598308
8.302283669,0.318160522
3.848154859,0.347054445
3.750424231,0.379164088
2.29779853,0.318287577
5.777900021,0.462642854
0.556390716,0.227625089
5.490808198,0.372049073
3.364156566,0.406643141
7.555525757,0.359864379
1.972478777,0.357308135
1.865696111,0.406950376
3.141247458,0.424216495
7.915668988,0.283617974
3.197036795,0.399058942
7.256633842,0.356712333
1.647211518,0.328340009
8.017543843,0.385757677
6.307407308,0.452598244
9.728540012,0.190005042
2.195814131,0.306108446
8.103835008,0.325400252
3.204365552,0.501166234
0.082752986,0.202380377
5.054882024,0.588778603
9.435341798,0.229611871
8.896918502,0.318613088
8.147568442,0.385951287
9.571922617,0.295987093
4.188768533,0.394182888
6.859912947,0.473713841
3.304319992,0.431523178
